#uke 29392
TEXT 0;0 0 0 0 0 0 
ITEM 0;0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
BODCOL 0;0 0 1 0 2 0 3 0 4 0 5 0 6 0 7 0 8 0 9 0 10 0 11 0 12 0 13 0 14 0 15 0 16 0 17 0 18 0 19 0 20 0
GRADCOL1 0;0 0 1 0 2 0 3 0 4 0 5 0 6 0 7 0 8 0 9 0 10 0 11 0 12 0 13 0 14 0 15 0 16 0 17 0 18 0 19 0 20 0
GRADCOL2 0;0 0 1 0 2 0 3 0 4 0 5 0 6 0 7 0 8 0 9 0 10 0 11 0 12 0 13 0 14 0 15 0 16 0 17 0 18 0 19 0 20 0
FORCOL 0;0 0 1 0 2 0 3 0 4 0 5 0 6 0 7 0 8 0 9 0 10 0 11 0 12 0 13 0 14 0 15 0 16 0 17 0 18 0 19 0 20 0
RELCOL 0;0 0 1 0 2 0 3 0 4 0 5 0 6 0 7 0 8 0 9 0 10 0 11 0 12 0 13 0 14 0 15 0 16 0 17 0 18 0 19 0 20 0
REPCOL 0;0 0 1 0 2 0 3 0 4 0 5 0 6 0 7 0 8 0 9 0 10 0 11 0 12 0 13 0 14 0 15 0 16 0 17 0 18 0 19 0 20 0
BELTNAME 0;
TRAILCOL 0;0 0 1 0 2 0 3 0
TEXBODY 0; 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
BMAPBODY 0; 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
TEXJOINT 0; 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
BMAPJOINT 0; 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
TEXTRAIL 0; 1 1 1 1
TEXGROUND 0; 0
FLAME0 0; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
FLAME1 0; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
FLAME2 0; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
FLAME3 0; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
FLAME4 0; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
HAIR0 0; 1 8 0 55 0 3 10 30 0 1 1 1 28 0 0 100
HAIR1 0; 1 0 0 55 0 3 10 10 25 9 1 1 28 0 30 100
HAIR2 0; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
HAIR3 0; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
HAIR4 0; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
HAIR5 0; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
HAIR6 0; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
HAIR7 0; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
HAIR8 0; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
HAIR9 0; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
HAIR10 0; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
HAIR11 0; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
HAIR12 0; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
HAIR13 0; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
HAIR14 0; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
HAIR15 0; 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
OBJ0 0; 0 0 0 0 0 0 0
OBJ1 0; 0 0 0 0 0 0 0
OBJ2 0; 0 0 0 0 0 0 0
OBJ3 0; 0 0 0 0 0 0 0
OBJ4 0; 0 0 0 0 0 0 0
OBJ5 0; 0 0 0 0 0 0 0
OBJ6 0; 0 0 0 0 0 0 0
OBJ7 0; 0 0 0 0 0 0 0
OBJ8 0; 0 0 0 0 0 0 0
OBJ9 0; 0 0 0 0 0 0 0
OBJ10 0; 0 0 0 0 0 0 0
OBJ11 0; 0 0 0 0 0 0 0
OBJ12 0; 0 0 0 0 0 0 0
OBJ13 0; 0 0 0 0 0 0 0
OBJ14 0; 0 0 0 0 0 0 0
OBJ15 0; 0 0 0 0 0 0 0
OBJ16 0; 0 0 0 0 0 0 0
OBJ17 0; 0 0 0 0 0 0 0
OBJ18 0; 0 0 0 0 0 0 0
OBJ19 0; 0 0 0 0 0 0 0
OBJ20 0; 0 0 0 0 0 0 0
OBJ21 0; 0 0 0 0 0 0 0
OBJ22 0; 0 0 0 0 0 0 0
OBJFLOOR0 0; 0 0 0 0 0 0
OBJFLOOR1 0; 0 0 0 0 0 0
OBJFLOOR2 0; 0 0 0 0 0 0
OBJFLOOR3 0; 0 0 0 0 0 0
OBJJOINT0 0; 0 0 0 0 0 0 0
OBJJOINT1 0; 0 0 0 0 0 0 0
OBJJOINT2 0; 0 0 0 0 0 0 0
OBJJOINT3 0; 0 0 0 0 0 0 0
OBJJOINT4 0; 0 0 0 0 0 0 0
OBJJOINT5 0; 0 0 0 0 0 0 0
OBJJOINT6 0; 0 0 0 0 0 0 0
OBJJOINT7 0; 0 0 0 0 0 0 0
OBJJOINT8 0; 0 0 0 0 0 0 0
OBJJOINT9 0; 0 0 0 0 0 0 0
OBJJOINT10 0; 0 0 0 0 0 0 0
OBJJOINT11 0; 0 0 0 0 0 0 0
OBJJOINT12 0; 0 0 0 0 0 0 0
OBJJOINT13 0; 0 0 0 0 0 0 0
OBJJOINT14 0; 0 0 0 0 0 0 0
OBJJOINT15 0; 0 0 0 0 0 0 0
OBJJOINT16 0; 0 0 0 0 0 0 0
OBJJOINT17 0; 0 0 0 0 0 0 0
OBJJOINT18 0; 0 0 0 0 0 0 0
OBJJOINT19 0; 0 0 0 0 0 0 0
OBJBELT 0; 0 0 0 0 0 0 0 0
OBJFLAG 0; 0 0 0 0 0 0 0 0 0
OBJUSERGROUP 0; 0 0 0 0 0 0 0 0
BELT 0;690
GENDER 0;0
TC 0;0 0 0
CLAN 0;0 
TEXFLAME 0; 1
TEXDQ 0; 0
